,CRAN,Package,Readme,bioconductor,dependencies,dependency,development,development version,devtools,git_clone,github,install_github,install_packages,install_packages_github,installation,nb_chars,nb_lines,omegahat,r-forge,release,released version,replicat,replication,rforge,stable,stable version,to install
1810,False,wtsDisMELSConn,README.md,False,False,False,False,False,False,[],False,[],[],[],False,105,4,False,False,False,False,False,False,False,False,False,False
1811,False,mda.streams,README.md,False,False,False,False,False,False,[],False,[],[],[],False,1199,15,False,False,False,False,False,False,False,False,False,False
1812,False,powstreams,README.md,False,False,False,False,False,False,[],False,[],[],[],False,1337,15,False,False,False,False,False,False,False,False,False,False
1813,False,BMR,README.md,False,False,False,False,False,False,[],False,[],[],[],False,229,4,False,False,False,False,False,False,False,False,False,False
1814,False,unittest.gdsfmt,README.md,False,True,False,True,True,True,[],True,"['install_github(""zhengxwen/gdsfmt"")', 'install_github(""zhengxwen/unittest.gdsfmt"")']",[],[],True,3102,91,False,False,False,False,False,False,False,False,False,True
1815,False,ABCpack,README.md,False,False,False,False,False,False,[],False,[],[],[],False,54,2,False,False,False,False,False,False,False,False,False,False
1816,False,phyViz,README.md,False,False,False,False,False,False,[],False,[],[],[],False,0,0,False,False,False,False,False,False,False,False,False,False
1817,False,hydroTSM,README.md,False,False,False,False,False,False,[],False,[],[],[],False,645,6,False,False,False,False,False,False,False,False,False,False
1818,True,googleVis,README.md,False,False,False,True,True,True,[],True,"['install_github(""mages/googleVis"")']","[""install.packages('googleVis')""]",[],True,3404,56,False,False,False,False,False,False,False,True,True,True
1819,False,nordpred,README.md,False,False,False,False,False,True,[],True,"['install_github(""cancercentrum/nordpred"")']","['install.packages(""devtools"")']",[],False,623,28,False,False,False,False,False,False,False,False,False,False
1820,False,usbudget,README.md,False,False,False,False,False,True,[],True,"['install_github(""seankross/usbudget"")']",[],[],False,311,11,False,False,True,False,False,False,False,False,False,True
1821,False,cellh5,README.md,True,True,False,False,False,False,[],False,[],[],[],True,1240,47,False,False,False,False,False,False,False,False,False,True
1822,False,FLBRP,README.md,False,False,False,False,False,False,[],False,[],[],[],False,66,4,False,False,False,False,False,False,False,False,False,False
